cust_no,dubil_num_3,dubil_num_6,dubil_num_9,dubil_num_12,count_loan_3,count_loan_6,count_loan_9,count_loan_12,count_payoff_loan_3,count_payoff_loan_6,count_payoff_loan_9,count_payoff_loan_12,count_nopayoff_loan_3,count_nopayoff_loan_6,count_nopayoff_loan_9,count_nopayoff_loan_12,count_earlypayoff_loan_3,count_earlypayoff_loan_6,count_earlypayoff_loan_9,count_earlypayoff_loan_12,count_normalpayoff_loan_3,count_normalpayoff_loan_6,count_normalpayoff_loan_9,count_normalpayoff_loan_12,count_ovduepayoff_loan_3,count_ovduepayoff_loan_6,count_ovduepayoff_loan_9,count_ovduepayoff_loan_12,ovdue_payoff_trade_max_3,ovdue_payoff_trade_max_6,ovdue_payoff_trade_max_9,ovdue_payoff_trade_max_12,ovdue_payoff_trade_min_3,ovdue_payoff_trade_min_6,ovdue_payoff_trade_min_9,ovdue_payoff_trade_min_12,early_payoff_trade_max_3,early_payoff_trade_max_6,early_payoff_trade_max_9,early_payoff_trade_max_12,early_payoff_trade_min_3,early_payoff_trade_min_6,early_payoff_trade_min_9,early_payoff_trade_min_12,obj_date,lon_amt_12,lon_amt_9,lon_amt_6,lon_amt_3,sum_amt_12,sum_amt_9,sum_amt_6,sum_amt_3,sum_payoff_amt_12,sum_payoff_amt_9,sum_payoff_amt_6,sum_payoff_amt_3,sum_nopayoff_amt_12,sum_nopayoff_amt_9,sum_nopayoff_amt_6,sum_nopayoff_amt_3,sum_earlypayoff_amt_12,sum_earlypayoff_amt_9,sum_earlypayoff_amt_6,sum_earlypayoff_amt_3,sum_normalpayoff_amt_12,sum_normalpayoff_amt_9,sum_normalpayoff_amt_6,sum_normalpayoff_amt_3,sum_ovduepayoff_amt_12,sum_ovduepayoff_amt_9,sum_ovduepayoff_amt_6,sum_ovduepayoff_amt_3,count_nopayoff_loan_rate_12,count_nopayoff_loan_rate_9,count_nopayoff_loan_rate_6,count_nopayoff_loan_rate_3,sum_nopayoff_amt_loan_rate_12,sum_nopayoff_amt_loan_rate_9,sum_nopayoff_amt_loan_rate_6,sum_nopayoff_amt_loan_rate_3,count_earlypayoff_loan_rate_12,count_earlypayoff_loan_rate_9,count_earlypayoff_loan_rate_6,count_earlypayoff_loan_rate_3,sum_earlypayoff_amt_rate_12,sum_earlypayoff_amt_rate_9,sum_earlypayoff_amt_rate_6,sum_earlypayoff_amt_rate_3,count_normalpayoff_loan_rate_12,count_normalpayoff_loan_rate_9,count_normalpayoff_loan_rate_6,count_normalpayoff_loan_rate_3,sum_normalpayoff_amt_rate_12,sum_normalpayoff_amt_rate_9,sum_normalpayoff_amt_rate_6,sum_normalpayoff_amt_rate_3,count_ovduepayoff_loan_rate_12,count_ovduepayoff_loan_rate_9,count_ovduepayoff_loan_rate_6,count_ovduepayoff_loan_rate_3,sum_ovduepayoff_amt_rate_12,sum_ovduepayoff_amt_rate_9,sum_ovduepayoff_amt_rate_6,sum_ovduepayoff_amt_rate_3,
3000579577,93.00 ,126.00 ,126.00 ,126.00 ,93.00 ,126.00 ,126.00 ,126.00 ,93.00 ,122.00 ,122.00 ,122.00 ,0.00 ,4.00 ,4.00 ,4.00 ,93.00 ,122.00 ,122.00 ,122.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,362.00 ,362.00 ,362.00 ,362.00 ,362.00 ,362.00 ,362.00 ,362.00 ,20191231,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,,400000.00 ,400000.00 ,400000.00 ,400000.00 ,,,,,,,,,0.03 ,0.03 ,0.03 ,0.00 ,1.00 ,1.00 ,1.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,0.00 ,0.00 ,0.00 ,0.00 ,,,,,
3000186214,93.00 ,185.00 ,218.00 ,218.00 ,93.00 ,185.00 ,218.00 ,218.00 ,39.00 ,39.00 ,39.00 ,39.00 ,54.00 ,146.00 ,179.00 ,179.00 ,39.00 ,39.00 ,39.00 ,39.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,20191231,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,1000000.00 ,,,,,,,,,0.82 ,0.82 ,0.79 ,0.58 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,0.00 ,0.00 ,0.00 ,0.00 ,,,,,
3000566653,93.00 ,147.00 ,147.00 ,147.00 ,93.00 ,147.00 ,147.00 ,147.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.00 ,147.00 ,147.00 ,147.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,400000.00 ,,,,,400000.00 ,400000.00 ,400000.00 ,400000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000609376,58.00 ,58.00 ,58.00 ,58.00 ,58.00 ,58.00 ,58.00 ,58.00 ,0.00 ,0.00 ,0.00 ,0.00 ,58.00 ,58.00 ,58.00 ,58.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,214000.00 ,214000.00 ,214000.00 ,214000.00 ,214000.00 ,214000.00 ,214000.00 ,214000.00 ,,,,,214000.00 ,214000.00 ,214000.00 ,214000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000621757,37.00 ,37.00 ,37.00 ,37.00 ,37.00 ,37.00 ,37.00 ,37.00 ,0.00 ,0.00 ,0.00 ,0.00 ,37.00 ,37.00 ,37.00 ,37.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,170000.00 ,170000.00 ,170000.00 ,170000.00 ,170000.00 ,170000.00 ,170000.00 ,170000.00 ,,,,,170000.00 ,170000.00 ,170000.00 ,170000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000598360,84.00 ,84.00 ,84.00 ,84.00 ,84.00 ,84.00 ,84.00 ,84.00 ,0.00 ,0.00 ,0.00 ,0.00 ,84.00 ,84.00 ,84.00 ,84.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,250000.00 ,250000.00 ,250000.00 ,250000.00 ,250000.00 ,250000.00 ,250000.00 ,250000.00 ,,,,,250000.00 ,250000.00 ,250000.00 ,250000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000623536,35.00 ,35.00 ,35.00 ,35.00 ,35.00 ,35.00 ,35.00 ,35.00 ,0.00 ,0.00 ,0.00 ,0.00 ,35.00 ,35.00 ,35.00 ,35.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,191000.00 ,191000.00 ,191000.00 ,191000.00 ,191000.00 ,191000.00 ,191000.00 ,191000.00 ,,,,,191000.00 ,191000.00 ,191000.00 ,191000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000402857,93.00 ,185.00 ,273.00 ,273.00 ,93.00 ,185.00 ,273.00 ,273.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.00 ,185.00 ,273.00 ,273.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,300000.00 ,300000.00 ,300000.00 ,300000.00 ,300000.00 ,300000.00 ,300000.00 ,300000.00 ,,,,,300000.00 ,300000.00 ,300000.00 ,300000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000561590,93.00 ,160.00 ,160.00 ,160.00 ,93.00 ,160.00 ,160.00 ,160.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.00 ,160.00 ,160.00 ,160.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,800000.00 ,800000.00 ,800000.00 ,800000.00 ,800000.00 ,800000.00 ,800000.00 ,800000.00 ,,,,,800000.00 ,800000.00 ,800000.00 ,800000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
3000577364,93.00 ,126.00 ,126.00 ,126.00 ,93.00 ,126.00 ,126.00 ,126.00 ,0.00 ,0.00 ,0.00 ,0.00 ,93.00 ,126.00 ,126.00 ,126.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,20191231,300000.00 ,300000.00 ,300000.00 ,300000.00 ,300000.00 ,300000.00 ,300000.00 ,300000.00 ,,,,,300000.00 ,300000.00 ,300000.00 ,300000.00 ,,,,,,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
