"req_id","customerid","businessid"
"12021063017581003436","4500413770",TCL20210600002432
"12021063017491003435","4500413879",TCL20210600002437
"12021063016071003421","4500413413",TCL20210600002418
"12021063013581003370","3000780287",TCL20210600002398
"12021063017291003433","4500413822",TCL20210600002436
"12021063014271003378","4500413021",TCL20210600002403
"12021063014161003375","3001006387",TCL20210600002402
"12021063011181003326","4010896905",TCL20210600002356
"12021063015411003411","4500413360",TCL20210600002413
"12021063011301003328","4500412201",TCL20210600002371
"12021063015191003406","4500413202",TCL20210600002408
"12021063017221003400","4500413844",TCL20210600002434
"12021063011281003327","4011110002",TCL20210600002372
"12021063017251003441","4500413811",TCL20210600002435
"12021063015461003391","3000971703",TCL20210600002414
"12021062910420988495","4500408596",TCL20210600002267
"12021062912270988553","4500409146",TCL20210600002292
"12021062910580988513","4500167391",TCL20210600002270
"12021062911480988551","3001166176",TCL20210600002283
"12021062915240988588","4500409852",TCL20210600002303
"12021062916240988641","3001297663",TCL20210600002324
"12021062910260988492","4500408505",TCL20210600002261
"12021062917170988645","4500410375",TCL20210600002334
"12021062914240988582","4500409645",TCL20210600002296
"12021062915460988592","4500410048",TCL20210600002313
"12021062915440988590","3001390397",TCL20210600002312
"12021062912000988567","4500407569",TCL20210600002257
"12021062917000988632","4500410420",TCL20210600002333
"12021062911220988518","4500408820",TCL20210600002278
"12021062812300988379","3000961655",TCL20210600002181
"12021062810410988342","4500404518",TCL20210600002154
"12021062816460988440","3001321329",TCL20210600002231
"12021062815360988419","4500406099",TCL20210600002206
"12021062816030988444","3000580937",TCL20210600002216
"12021062817370988468","3001241616",TCL20210600002143
"12021062814390988391","4500405629",TCL20210600002194
"12021062817520988469","3000410934",TCL20210600002246
"12021062810580988327","3000627355",TCL20210600002156
"12021062811120988359","3000572357",TCL20210600002161
"12021062818000988459","4500406764",TCL20210600002244
"12021062810540988326","3001189266",TCL20210600002157
"12021062816460988461","4500406448",TCL20210600002229
"12021062813000988380","4500405187",TCL20210600002182
"12021062815120988418","4500405921",TCL20210600002200
"12021062719400966716","3000598360",TCL20210600002145
"12021062716400966754","4500403449",TCL20210600002141
"12021062511370966552","3000423352",TCL20210600002013
