"cust_no","obs_dt","tag"
"3000608711","20191231",1
"3000577248","20191231",0
"3000422055","20191231",0
"3000350058","20191231",0
"3000566915","20191231",0
"3000430438","20191231",0
"3000601188","20191231",0
"3000550428","20191231",0
"3000092334","20191231",0
"3000403054","20191231",0
"3000598430","20191231",0
"3000598144","20191231",0
"3000564208","20191231",0
"3000577828","20191231",0
"3000605790","20191231",0
"3000419545","20191231",0
"3000585867","20191231",0
"3000431598","20191231",0
"3000566865","20191231",0
"3000552322","20191231",0
"3000434758","20191231",0
"3000423793","20191231",0
"3000590560","20191231",0
"3000412598","20191231",1
"3000582523","20191231",0
"3000428035","20191231",0
"3000432910","20191231",0
"3000421085","20191231",0
"3000569397","20191231",0
"3000460402","20191231",1
"3000401217","20191231",0
"3000570063","20191231",0
"3000388895","20191231",0
"3000421950","20191231",0
"3000432285","20191231",0
"3000554984","20191231",0
"3000431360","20191231",0
"3000551351","20191231",0
"3000554221","20191231",0
"3000467303","20191231",1
"3000471605","20191231",1
"3000568767","20191231",0
"3000558019","20191231",0
"3000565132","20191231",1
"3000417369","20191231",0
"3000389637","20191231",0
"3000431943","20191231",0
"3000452319","20191231",0
"3000354148","20191231",0
"3000452262","20191231",0
"3000599361","20191231",0
"3000468752","20191231",1
"3000409854","20191231",0
"3000608091","20191231",0
"3000563769","20191231",0
"3000564502","20191231",0
"3000603430","20191231",0
"3000561920","20191231",0
"3000609593","20191231",0
"3000413105","20191231",0
"3000567030","20191231",1
"3000413107","20191231",0
"3000576281","20191231",0
"3000434764","20191231",1
"3000585877","20191231",0
"3000411392","20191231",1
"3000417899","20191231",1
"3000406225","20191231",0
"3000609598","20191231",0
"3000610608","20191231",0
"3000551886","20191231",1
"3000609886","20191231",0
"3000440670","20191231",0
"3000571912","20191231",0
"3000421095","20191231",0
"3000591785","20191231",0
"3000606542","20191231",0
"3000577311","20191231",0
"3000425179","20191231",0
"3000416216","20191231",1
"3000575366","20191231",0
"3000588221","20191231",0
"3000418585","20191231",1
"3000588510","20191231",1
"3000424258","20191231",0
"3000576869","20191231",0
