"yd_var","yd_var_name","var"
yd_zxdtemaxstallpr,所有产品下最大当前逾期期数,zxdtemaxstallpr
yd_zxdtemaxstplpr,贷款产品下最大当前逾期期数,zxdtemaxstplpr
yd_zxdtemaxstaccpr,信用卡产品下最大当前逾期期数,zxdtemaxstaccpr
yd_zxdtemaxstccpr,贷记卡产品下最大当前逾期期数,zxdtemaxstccpr
yd_zxdtemaxstqccpr,准贷记卡产品下最大当前逾期期数,zxdtemaxstqccpr
yd_zxdacallpr,所有产品下当前逾期期数＞0的账户数,zxdacallpr
yd_zxdacplpr,贷款产品下当前逾期期数＞0的账户数,zxdacplpr
yd_zxdacaccpr,信用卡产品下当前逾期期数＞0的账户数,zxdacaccpr
yd_zxdacccpr,贷记卡产品下当前逾期期数＞0的账户数,zxdacccpr
yd_zxdacqccpr,准贷记卡产品下当前逾期期数＞0的账户数,zxdacqccpr
yd_zxdammaxstallpr,所有产品下最大当前逾期金额,zxdammaxstallpr
yd_zxdamminstallpr,所有产品下最小当前逾期金额,zxdamminstallpr
yd_zxdamavgstallpr,所有产品下平均当前逾期金额,zxdamavgstallpr
yd_zxdamsumstallpr,所有产品下总和当前逾期金额,zxdamsumstallpr
yd_zxdammaxstplpr,贷款产品下最大当前逾期金额,zxdammaxstplpr
yd_zxdamminstplpr,贷款产品下最小当前逾期金额,zxdamminstplpr
yd_zxdamavgstplpr,贷款产品下平均当前逾期金额,zxdamavgstplpr
yd_zxdamsumstplpr,贷款产品下总和当前逾期金额,zxdamsumstplpr
yd_zxdammaxstaccpr,信用卡产品下最大当前逾期金额,zxdammaxstaccpr
yd_zxdamminstaccpr,信用卡产品下最小当前逾期金额,zxdamminstaccpr
yd_zxdamavgstaccpr,信用卡产品下平均当前逾期金额,zxdamavgstaccpr
yd_zxdamsumstaccpr,信用卡产品下总和当前逾期金额,zxdamsumstaccpr
yd_zxdammaxstccpr,贷记卡产品下最大当前逾期金额,zxdammaxstccpr
yd_zxdamminstccpr,贷记卡产品下最小当前逾期金额,zxdamminstccpr
yd_zxdamavgstccpr,贷记卡产品下平均当前逾期金额,zxdamavgstccpr
yd_zxdamsumstccpr,贷记卡产品下总和当前逾期金额,zxdamsumstccpr
yd_zxdammaxstqccpr,准贷记卡产品下最大当前逾期金额,zxdammaxstqccpr
yd_zxdamminstqccpr,准贷记卡产品下最小当前逾期金额,zxdamminstqccpr
yd_zxdamavgstqccpr,准贷记卡产品下平均当前逾期金额,zxdamavgstqccpr
yd_zxdamsumstqccpr,准贷记卡产品下总和当前逾期金额,zxdamsumstqccpr
yd_zxdte2gteallactcnt,所有产品下当前逾期期数≥2的账户数,zxdelqgte2actcnt
yd_zxdtemaxst1mlallpr,所有产品下最近1个月最大逾期期数,zxdtemaxst1mlallpr
yd_zxdtemaxst3mlallpr,所有产品下最近3个月最大逾期期数,zxdtemaxst3mlallpr
yd_zxdtemaxst6mlallpr,所有产品下最近6个月最大逾期期数,zxdtemaxst6mlallpr
yd_zxdtemaxst9mlallpr,所有产品下最近9个月最大逾期期数,zxdtemaxst9mlallpr
