id	score
UC37930	0.96967256
U5BE130	0.15748598
UD025AE	0.9811615
UC2D00D	0.9474007
UAF705D	0.9781718
U7341A1	0.23302367
UA6FF47	0.21143599
U6255A9	0.19728279
UBCD1B5	0.22232886
U8379B6	0.08910185
UAED043	0.33271173
UB18B29	0.19485934
U80F6B0	0.16151626
UC168B1	0.18957041
U73CE52	0.30226365
U925E3E	0.28594223
U856366	0.18246265
UA2215E	0.8691692
UAD559B	0.15015846
UB73EB7	0.9976004
UB52933	0.081278056
U611D62	0.2755274
U7F656C	0.08602874
UBEFD9F	0.059389755
U9CDE59	0.12611881
U5D1F39	0.026548123
U6AF446	0.03348529
U563257	0.08067234
U68A781	0.021000497
UCA9E34	0.051811814
UAEE572	0.033251226
UBCEA5B	0.00021079059
UC6C7E3	0.0720972
U5615EA	0.06797182
UB5C3A7	0.06209883
UD2CEEB	0.047109228
UAAF5A5	0.06653344
U6891EB	0.045245696
U8F7950	0.31170568
U873737	0.05770244
U650D44	0.9844572
UC6C426	0.1978099
UD05F6F	0.07353118
UACDF2D	0.02820886
U66E955	0.06795854
UBB62CB	0.09652818
UA03A36	0.99256366
U991314	0.08976849
UC7A55A	0.043510318
UC54765	0.07862094
U89FD0A	0.053106707
U7C7641	0.03758368
U8B3A75	0.9988586
U67AA12	0.20242631
UB63321	0.001486791
UB80D52	0.02845089
UD05570	0.009998876
UCBF01C	0.212189
U8D6A3A	0.08782259
U8B0165	0.03910962
U801DBF	0.012935198
U6F8898	0.09509507
U5D32DB	0.9868355
U6E7A65	0.01538224
U830734	0.1114234
U7E0F1B	0.1037553
U89DFDB	0.0461394
U58E200	0.058786582
U7DD92C	0.12702471
U720FBD	0.021953657
UA8607D	0.04254472
UA0CD46	0.08121781
U8E52AC	0.09438318
U65E3DF	0.09579874
U794862	0.10335317
UC080DE	0.03566666
UA0F873	0.18833831
U9D2CD4	0.06459985
U89552D	0.06651984
UB20DAE	0.10265389
UC00A4B	0.0740553
U9E34D5	0.09126017
U5BE7FC	0.018000854
UB59CAF	0.15038355
U71CAB0	0.14123565
U9410A7	0.105363324
UC53F2C	0.16286011
U859777	0.24581063
U5B4934	0.087394245
UD0D37E	0.07592834
U6D3902	0.14874223
U9C0C31	0.13770771
U7924B7	0.1585095
UB073A3	0.32781497
U96411F	0.16618128
U6AA724	0.034748647
UC1C8A4	0.1534651
UBC3AEB	0.08593736
U6DA682	0.018569345
UB75192	0.057182662
U7ECAA8	0.07334717
UC3F77D	0.114321895
UB2D44F	0.5277251
U572980	0.08005129
UCE2459	0.15731938
UCF618E	0.12229444
UC15C77	0.069171175
U625F6D	0.003395268
UCADAFB	0.037157454
UBDE349	0.40947205
U8FF4A4	0.123556666
U83DDD9	0.298569
U5CA431	0.106033884
U5D7BD9	0.13265014
U94B670	0.117562644
U744CA8	0.13377652
U7F4C1A	0.26376563
UBE0A34	0.061965186
UBE4CB3	0.10772167
UA1290C	0.4075352
UD02168	0.09253169
U921F57	0.13311079
U784E2A	0.025344249
U7F89C9	0.016963366
U5D7909	0.34860432
U5DACDC	0.029803969
UA22CC4	0.061029308
UA63E58	0.30473793
UA6D9F8	0.14144036
UD247A5	0.13340789
UB55C61	0.13659899
UAFC7A6	0.15104511
U6E33C7	0.18750018
U961913	0.050143342
U8215F0	0.090670496
U56C0FC	0.013534001
U8AE90F	0.29753828
UCADCDB	0.13012613
UC97791	0.21322076
UD0928E	0.11630661
U62DF94	0.042432282
UB1398A	0.1801298
UCF3198	0.0838935
U5F9059	0.077493966
U9095A8	0.24844927
U7B56B9	0.43954605
U59EA80	0.45711735
UB04266	0.15779006
UC4B9BB	0.051399667
UB2BA72	0.15773134
U5740C9	0.123732
U7BB9CB	0.12234689
U5AA7DC	0.08402949
U700C7F	0.12422809
UA0555E	0.2659556
UAD30AD	0.07991141
U8E4772	0.05874301
U9C9A14	0.02892699
UA7B345	0.5060953
U825387	0.58633
U8860BD	0.36485
U61FDD6	0.16167125
UB206B3	0.036603328
UB350F1	0.36026222
UAB0724	0.05765509
U7A9B18	0.25056174
UCFAC33	0.13391311
U833112	0.19451682
U542C2E	0.023987861
U72B433	0.10425534
U9FD774	0.07131337
UB9FB64	0.067614086
UA84300	0.07108038
U6F158A	0.03755404
U9D7472	0.30635914
U7F5A68	0.17914286
UD1565A	0.38908288
U998DE3	0.16758466
UB9C05D	0.10977412
UA744CA	0.07238708
U7DDA3E	0.024235634
U82553C	0.1300356
UA0BBAE	0.14929718
UC0F6AB	0.09151889
U5E6282	0.39510646
U8E1CB4	0.41074434
U788FD1	0.302815
U6F8512	0.033381738
